MANUFACTURER,FAMILY,MODEL,IDPICTURE
Privileg,Electronic,Electronic 2400,
Privileg,Electronic,Electronic 2200,
Olympia,XL,XL 512,
Olympia,XL,XL 505,
Olympia,XL,XL 501,
Olympia,XL,XL 125 DM,
Olympia,XL,XL 122 M,
Olympia,XL,XL 121,
Olympia,XL,XL 120,
Olympia,Startype,Startype 2,
Olympia,Startype,Startype,
Olympia,Other,SM 5200,
Olympia,Other,Personal Writer,
Radio Shack,Other,WP 100,
Olivetti,CX,CX 900,
Olivetti,CX,CX 470,
Olivetti,CX,CX 450,
Olivetti,CX,CX 440 S,
Olivetti,CX,CX 440 Plus,
Olivetti,CX,CX 440 M,
Olivetti,CX,CX 1000 S,
Olivetti,CX,CX 1000,
Kardex,Other,Remstar AX 80,
Kardex,Other,Remstar AX 270,
Kardex,Other,Remstar AX 260,
Kardex,Other,Remstar AX 220,
Kardex,Other,Remstar AX 210,
Kardex,Other,Remstar AX 200,
Kardex,Other,Remstar 192,
Kardex,Other,AX 280,
International,Other,90 X,
International,Other,70 X,
International,Other,65 X,
International,Other,60,
International,Other,27 X,
International,Other,26 X,
International,Other,12 X,
Hermes,Other,14 B,
Hermes,Other,14 A,
Hermes,Other,Toptronic 90,
Hermes,Other,Toptronic 80,
Hermes,Other,Toptronic 710,
Hermes,Other,Toptronic 70,
Hermes,Other,Toptronic 535,
Hermes,Other,Toptronic 530,
Hermes,Other,Toptronic 510,
Hermes,Other,Toptronic 350,
Hermes,Other,Toptronic 310,
Hermes,Other,Toptronic 17-2,
Hermes,Other,Toptronic 17-1,
Hermes,Other,Toptronic 14 D,
Hermes,Other,Toptronic 14 B,
Hermes,Other,Toptronic 14 A,
Hermes,Other,Toptronic 14,
Hermes,Other,Toptronic 12,
Hermes,Other,Toptronic 110,
Hermes,Other,Toptronic 10,
Facit,Other,620,
Elite,Other,S 7500 Electric,
Facit,T,T 360,
Facit,T,T 350,
Facit,T,T 320,
Facit,T,T 310,
Facit,T,T 165,
Facit,T,T 160,
Facit,T,T 150,
Facit,T,T 125,
Facit,T,T 110,
Butec,Other,4005,
Butec,Other,4004,
Butec,Other,2002,
Bestar,Other,ESM 2000,
Bestar,Other,ESM 1500,
Adler-Royal,Other,TQ 920,
Adler-Royal,Other,TQ 820,
Adler-Royal,Other,TQ 720,
Amstrad,Other,PCW 9515,
Adler-Royal,Other,Signet 70,
Adler-Royal,Other,Signet 45 T,
Adler-Royal,Other,Signet 45,
Adler-Royal,Other,Signet 25,
Adler-Royal,Other,Signet 20,
Adler-Royal,Other,Signet 100,
Adler-Royal,Other,Signet 10,
Adler-Royal,Other,Signet,
Amstrad,Other,AP 620,
Nakajima,Other,WPT 66,
Nakajima,Other,WPT 61,
Nakajima,Other,S 5200 MD,
Nakajima,AX,AX 90,
Nakajima,AX,AX 76,
Nakajima,AX,AX 70,
Nakajima,AX,AX 60,
Nakajima,AX,AX 530,
Nakajima,AX,AX 510,
Nakajima,AX,AX 500,
Nakajima,AX,AX 455,
Nakajima,AX,AX 375,
Nakajima,AX,AX 300,
Nakajima,AX,AX 240,
Nakajima,AX,AX 230,
Nakajima,AX,AX 225,
Nakajima,AX,AX 120,
Nakajima,AX,AX 100,
Nakajima,AE,AE 580,
Nakajima,AE,AE 560,
Nakajima,AE,AE 500,
Buero-Data,Other,Alpha-TOP,
Adler-Royal,Beta,Beta 8000 T,
Adler-Royal,Beta,Beta 8000,
Adler-Royal,Other,8000 T,
Adler-Royal,Other,605,
Triumph-Adler,Satellite,Satellite 2010,
Adler-Royal,Alpha,Alpha 2000 Series,
Smith Corona,Other,EC 1100 Series,
Nakajima,AE,AE 450 Series,
Kardex,Other,Remstar ALL AE 340 Series,
Triumph-Adler,Satellite,Satellite 2000 Series,
Swintec,Other,8014 Series,
Adler-Royal,Gabriele,Gabriele 8008 Series,
Swintec,Other,1146 Series,
Kardex,Other,ALL AE 350 Series,
Kardex,Other,Remstar ALL AE 350 Series,
Kardex,Other,ALL AE 360 Series,
Kardex,Other,ALL AE 340 Series,
Nakajima,AE,AE 460 Series,
Nakajima,AE,AE 340 Series,
Kardex,Other,350 Series,
Kardex,Other,Remstar ALL AE 460 Series,
Nakajima,AE,AE 350 Series,
Kardex,Other,Remstar ALL AE 360 Series,
Kardex,Other,Remstar 350 Series,
Smith Corona,Other,EC 1300 Series,
Kardex,Other,ALL AE 460 Series,
Nakajima,AE,AE 360 Series,
Remstar,Other,410 Series,
Remstar,Other,400 Series,
Kardex,Other,ALL AE 370 Series,
Nakajima,AE,AE 330 Series,
Kofa,Other,Classic 17,
Kofa,Other,Classic 15,
Kofa,Other,DW 1000,
Kofa,Other,Memo 16,
Kofa,Other,Memo 12,
Kofa,Other,Memo 10 Plus,
Kofa,Other,Memo 10,
Kofa,Other,Electronic 2,
Kofa,Other,Electronic 2 E,
Kofa,Other,Electronic 2 S,
Kofa,Other,Electronic 1 S,
Kofa,Other,Electronic 1 E,
Kofa,Other,Electronic 1,
Hermes,Other,Toptronic 35930,
Hermes,Other,Toptronic 35844,
Hermes,Other,Toptronic 35841,
Hermes,Other,Toptronic 35810,
Hermes,Other,Toptronic 15-1,
Triumph-Adler,Alpha,Alpha 2015,
Triumph-Adler,Alpha,Alpha 2002,
Triumph-Adler,Alpha,Alpha 2001,
Triumph-Adler,SE,SE 8008,
Triumph-Adler,Satellite,Satellite II,
Triumph-Adler,Satellite,Satellite 2015,
Triumph-Adler,Satellite,Satellite 2002,
Triumph-Adler,Satellite,Satellite 2001,
Triumph-Adler,Gabriele,Gabriele 8008 S,
Triumph-Adler,Gabriele,Gabriele 8008 L,
Triumph-Adler,Gabriele,Gabriele 8008,
Smith Corona,Other,ET 1300,
Smith Corona,Other,EL 4000,
Smith Corona,Other,EC 400,
Smith Corona,Other,EC 1300 RO,
Smith Corona,Other,EC 1300 RD,
Smith Corona,Other,EC 1300,
Smith Corona,Other,EC 1150,
Smith Corona,Other,EC 1100,
Smith Corona,Other,1300,
Teletex,Other,TTX 1114,
Teletex,Other,TTX 1014,
Teletex,Other,1014,
Swintec,Other,Collegiate,
Swintec,Other,9500,
Swintec,Other,8017,
Swintec,Other,8016,
Swintec,Other,8014 S,
Swintec,Other,8014 KSR,
Swintec,Other,8014,
Swintec,Other,8012,
Swintec,Other,8011,
Swintec,Other,1186 CMP,
Swintec,Other,1186 CM,
Swintec,Other,1146 CMA,
Swintec,Other,1146 CM,
Swintec,Other,1146,
Sigma,Other,SM 8500,
Sigma,Other,8500 I,
Sigma,Other,8500,
Sumitronics,Other,AE 395,
Torpedo,Other,AP 750,
Torpedo,Other,AP 650,
Torpedo,Other,700,
Smith Corona,Other,Typetronic III,
Smith Corona,Other,Typetronic II,
Seikosha,Other,MS 15,
Sears,Other,Real-Alpha 600,
Sears,Other,Communicator II,
Sears,Other,53061-650,
Sears,Other,53061,
Sears,Other,53051-650,
Sears,Other,53051,
Sears,Other,53043,
Sears,Other,53042,
Sears,Other,53030,
Sears,Other,5303,
Sears,Other,53020,
Sears,Other,5302,
Sears,Other,53010,
Sears,Other,5301,
Sears,Other,26853061,
Sears,Other,26853051,
Sears,Other,26853043,
Sears,Other,26853042,
Sears,Other,26853030,
Sears,Other,2685303,
Sears,Other,26853020,
Sears,Other,2685302,
Sears,Other,26853010,
Sears,Other,2685301,
Sears,Other,16153061,
Sears,Other,16153051,
Sears,Other,16153043,
Sears,Other,16153042,
Sears,Other,16153030,
Sears,Other,1615303,
Sears,Other,16153020,
Sears,Other,1615302,
Sears,Other,16153010,
Sears,Other,1615301,
Remtor,Other,M 6000 M,
Remtor,Other,M 600 M,
Remtor,Other,5300,
Remtor,Other,5100,
Remtor,Other,4900,
Remstar,Other,AE 475,
Remstar,Other,AE 465,
Remstar,Other,AE 385,
Remstar,Other,AE 365,
Remstar,Other,AE 350,
Remstar,Other,AE 345,
Remstar,Other,AE 340,
Schneider,Other,SD 15,
Schneider,Other,SD 14,
Remstar,Other,6000 M,
Remstar,Other,5300 M,
Remstar,Other,412,
Remstar,Other,411,
Remstar,Other,402,
Remstar,Other,212,
Remstar,Other,205,
Remstar,Other,204,
Remstar,Other,203,
Remstar,Other,202 C,
Remstar,Other,202,
Remstar,Other,193,
Remstar,Other,191,
Sense,Other,P 01,
Sense,Other,EO 7,
Sense,Other,EO 6,
Sense,Other,EO 5,
Sense,Other,EO 3,
Sense,Other,EO 2,
Sense,Other,EO 1,
Sense,Other,E 07,
Sense,Other,E 06,
Sense,Other,E 05,
Sense,Other,E 03,
Sense,Other,E 02,
Sense,Other,E 01,
Sanyo,Serd,Serd 1500,
Olympia,Electronic,Electronic Portable S,
Olympia,Electronic,Electronic Portable,1209
Olympia,Electronic,Electronic Compact RO,
Olympia,Electronic,Electronic Compact 3,
Olympia,Electronic,Electronic Compact 2,
Olympia,Electronic,Electronic Compact,
Olympia,C,Compact RO,
Olympia,C,Compact Electronic,
Olympia,C,Compact 2,
Privileg,Electronic,Electronic 4000,
Privileg,Electronic,Electronic 3600,
Privileg,Electronic,Electronic 3000,
Privileg,Electronic,Electronic 2300,
Privileg,Electronic,Electronic 2000,
Olympia,Traveller,Traveller Electronic,
Olympia,Report,Report Electronic 2,
Olympia,Report,Report Electronic,
Olympia,Portable,Portable S,
Olympia,Portable,Portable Electronic,
Olympia,Portable,Portable,
Praesident,Other,Electronic 6006,
Praesident,Other,Electronic 6005 I,
Praesident,Other,Electronic 6005,
Praesident,Other,6005,
NSA,Other,S 700,
Olivetti,CX,CX 880,
Olivetti,Other,901 D,
Olivetti,Other,900 X,
Imperial,Other,8008,
Kardex,Other,Remstar ALL AE 485,
Kardex,Other,Remstar ALL AE 475,
Kardex,Other,Remstar ALL AE 465,
Kardex,Other,Remstar ALL AE 460,
Kardex,Other,Remstar ALL AE 455,
Kardex,Other,Remstar ALL AE 445,
Kardex,Other,Remstar ALL AE 395,
Kardex,Other,Remstar ALL AE 385,
Kardex,Other,Remstar ALL AE 375,
Kardex,Other,Remstar ALL AE 365,
Kardex,Other,Remstar ALL AE 360,
Kardex,Other,Remstar ALL AE 355,
Kardex,Other,Remstar ALL AE 350,
Kardex,Other,Remstar ALL AE 345,
Kardex,Other,Remstar ALL AE 340,
Kardex,Other,Remstar ALL AE 330,
Kardex,Other,Remstar ALL 475,
Kardex,Other,Remstar ALL 455,
Kardex,Other,Remstar ALL 395,
Kardex,Other,Remstar ALL 385,
Kardex,Other,Remstar ALL 375,
Kardex,Other,Remstar 6000 M,
Kardex,Other,Remstar 5300 M,
Kardex,Other,Remstar 5200,
Kardex,Other,Remstar 5100,
Kardex,Other,Remstar 4900,
Kardex,Other,Remstar 475,
Kardex,Other,Remstar 455,
Kardex,Other,Remstar 355,
Kardex,Other,Remstar 350,
Kardex,Other,Remstar 201,
Kardex,Other,Remstar 200,
Kardex,Other,ALL AE 485,
Kardex,Other,ALL AE 475,
Kardex,Other,ALL AE 465,
Kardex,Other,ALL AE 460,
Kardex,Other,ALL AE 455,
Kardex,Other,ALL AE 445,
Kardex,Other,ALL AE 395,
Kardex,Other,ALL AE 385,
Kardex,Other,ALL AE 375,
Kardex,Other,ALL AE 370,
Kardex,Other,ALL AE 365,
Kardex,Other,ALL AE 360,
Kardex,Other,ALL AE 355,
Kardex,Other,ALL AE 350,
Kardex,Other,ALL AE 345,
Kardex,Other,ALL AE 340,
Kardex,Other,ALL AE 330,
Kardex,Other,475,
Kardex,Other,455,
Kardex,Other,355,
Kardex,Other,350,
Microscan,Other,MS 15 VS,
International,Other,37 ER,
International,Other,36 E,
International,Other,35 E,
International,Other,34 E,
International,Other,33 E,
International,Other,30 S,
Logitec,Other,WP 550,
Hermes,Other,4,
Hermes,Other,35841,
Hermes,Other,35810,
Hermes,Other,18,
Hermes,Other,15-1 T,
Hermes,Other,Toptronic 475,
Hermes,Other,Toptronic 455,
Hermes,Other,Toptronic 395,
Hermes,Other,Toptronic 375,
Hermes,Other,Toptronic 360,
Hermes,Other,Toptronic 340,
Hermes,Other,Toptronic 305,
Hermes,Other,Toptronic 18-TM,
Hermes,Other,Toptronic 18-2 T,
Hermes,Other,Toptronic 18-2,
Hermes,Other,Toptronic 15-5 T,
Hermes,Other,Toptronic 15-5,
Hermes,Other,Toptronic 15-4 T,
Hermes,Other,Toptronic 15-3 T,
Hermes,Other,Toptronic 15-2,
Hermes,Other,Toptronic 15-1 T,
Hermes,Other,Toptronic 15,
Elite,Other,S 7000 Electric,
Daro,Other,S 6006,
Daro,Other,S 6005,
Daro,Other,Praesident 6006,
Daro,Other,Praesident 6005,
Daro,Other,Praesident 6001,
Daro,Other,Erika Electronic Portable,
Daro,Other,Erika Electronic 6006,
Daro,Other,Erika Electronic 6005,
Daro,Other,Erika Electric,
Daro,Other,Erika 8006,
Daro,Other,Erika 6008,
Daro,Other,Erika 6006 Early Models,
Daro,Other,Erika 6005,
Daro,Other,Eltron 6006 I,
Daro,Other,Eltron 6005 I,
Daro,Other,Electric Portable,
Daro,Other,6008,
Daro,Other,6006 I,
Daro,Other,6005 I,
Butec,Other,15 S,
Butec,Other,15 IF,
Butec,Other,15 F,
Butec,Other,11,
Alpha,Other,2001,
Nakajima,Other,AS 300,
Nakajima,Other,AS 290,
Nakajima,AR,AR 360,
Nakajima,AE,AE 770,
Nakajima,AE,AE 750,
Nakajima,AE,AE 485,
Nakajima,AE,AE 460,
Nakajima,AE,AE 455,
Nakajima,AE,AE 450,
Nakajima,AE,AE 440,
Nakajima,AE,AE 375,
Nakajima,AE,AE 360,
Nakajima,AE,AE 355,
Nakajima,AE,AE 335,
Nakajima,AE,AE 300,
Nakajima,Other,A 11,
Adler-Royal,SE,SE 802,
Triumph-Adler,SE,SE 355,
Adler-Royal,Gabriele,Gabriele 450,
Adler-Royal,Other,Compacta 600 M,
Adler-Royal,Alpha,Alpha 120,
Adler-Royal,Other,405,
Triumph-Adler,SE,SE 700 Series,
Adler-Royal,SE,SE 610 Series,
Triumph-Adler,Twen,Twen T 110 Series,
Triumph-Adler,Twen,Twen 420 Series,19629
Adler-Royal,Beta,Beta 220 Series,
Adler-Royal,Other,BSM 100 Series,
Triumph-Adler,Twen,Twen T 700 Series,
Adler-Royal,Alpha,Alpha 110 Series,
Adler-Royal,Other,Compacta 600 Series,
Imperial,Other,SE 320 Series,
Triumph-Adler,Gabriele,Gabriele 7007 Series,
Adler-Royal,SE,SE 300 Series,
Triumph-Adler,Gabriele,Gabriele 110 Series,
Triumph-Adler,Twen,Twen T 320 Series,19629
Adler-Royal,Gabriele,Gabriele 7000 Series,
Triumph-Adler,Twen,Twen T 300 Series,
Triumph-Adler,Compacta,Compacta 400 Series,
Triumph-Adler,Twen,Twen T 200 Series,
Imperial,Other,SE 310 Series,
Triumph-Adler,SE,SE 420 Series,
Triumph-Adler,Twen,Twen T 410 Series,
Adler-Royal,SE,SE 400 Series,
Adler-Royal,Other,Compacta 500 Series,
Triumph-Adler,Twen,Twen 320 Series,19628
Triumph-Adler,Other,420 Series,
Triumph-Adler,Twen,Twen T 420 Series,19629
Triumph-Adler,Twen,Twen T 180 Series,8431
Triumph-Adler,Twen,Twen 320 DS,19629
Triumph-Adler,Twen,Twen 180 DS,8431
Triumph-Adler,Twen,Twen 420 DS,19629
Triumph-Adler,Twen,Twen 320,19628
Triumph-Adler,Twen,Twen 180,8430
Triumph-Adler,Twen,Twen 420,19628
Triumph-Adler,Twen,Twen T 180 DS,8431
Triumph-Adler,Twen,Twen T 180,8430
Triumph-Adler,Twen,Twen T 400 V,
Triumph-Adler,Twen,Twen T 610 DS,
Triumph-Adler,Twen,Twen T 7007,
Triumph-Adler,Twen,Twen T 200 PFS,
Triumph-Adler,Twen,Twen T 100 DS,
Triumph-Adler,Twen,Twen T 100,
Triumph-Adler,Other,Edition Mercedes WP,
Triumph-Adler,Other,Edition Mercedes P,
Triumph-Adler,Compacta,Compacta 600 DS,
Triumph-Adler,Compacta,Compacta 600,
Triumph-Adler,Compacta,Compacta 500 DS,
Triumph-Adler,Compacta,Compacta 500,
Triumph-Adler,Compacta,Compacta 400 M,
Triumph-Adler,Compacta,Compacta 400 DS,
Triumph-Adler,Compacta,Compacta 400,
Triumph-Adler,BSM,BSM 50,
Triumph-Adler,BSM,BSM 100 SC,
Triumph-Adler,BSM,BSM 100 DOS,
Triumph-Adler,BSM,BSM 100,
Triumph-Adler,Other,BMA 8200 C,
Triumph-Adler,Beta,Beta 9000 D,
Triumph-Adler,Beta,Beta 8100,
Triumph-Adler,Beta,Beta 8050,
Triumph-Adler,Alpha,Alpha 700 D,
Triumph-Adler,Alpha,Alpha 620 C,
Triumph-Adler,Alpha,Alpha 610,
Triumph-Adler,Other,9009,
Triumph-Adler,Other,805,
Triumph-Adler,Other,803,
Triumph-Adler,Other,801,
Triumph-Adler,Other,7007 L,
Triumph-Adler,Other,7007,
Triumph-Adler,Other,600 DS,
Triumph-Adler,Other,503,
Triumph-Adler,Other,500 DS,
Triumph-Adler,Other,425,
Triumph-Adler,Other,420,
Triumph-Adler,Other,415,
Triumph-Adler,Other,400 M,
Triumph-Adler,Other,400 DS/M,
Triumph-Adler,Other,400 DS,
Triumph-Adler,Other,325,
Triumph-Adler,Other,315,
Triumph-Adler,Other,300 TTX,
Triumph-Adler,Other,115,
Triumph-Adler,Twen,Twen T 800 DS,
Triumph-Adler,Twen,Twen T 700 DS,
Triumph-Adler,Twen,Twen T 700,
Triumph-Adler,Twen,Twen T 420 DS,19629
Triumph-Adler,Twen,Twen T 420,19628
Triumph-Adler,Twen,Twen T 410 DS,
Triumph-Adler,Twen,Twen T 410,
Triumph-Adler,Twen,Twen T 320 DS,19629
Triumph-Adler,Twen,Twen T 320,19628
Triumph-Adler,Twen,Twen T 300 DS,
Triumph-Adler,Twen,Twen T 300,
Triumph-Adler,Twen,Twen T 200 V,
Triumph-Adler,Twen,Twen T 110 DS,
Triumph-Adler,Twen,Twen T 110,
Triumph-Adler,TRD,TRD 7020,
Xerox,X,X 575,
Triumph-Adler,Other,Standard Elektrik 500,
Triumph-Adler,Other,SM Compacta 400 DS,
Triumph-Adler,SE,SE 9009,
Triumph-Adler,SE,SE 803,
Triumph-Adler,SE,SE 801,
Triumph-Adler,SE,SE 800 DS Cyclo,
Triumph-Adler,SE,SE 800 DS,
Triumph-Adler,SE,SE 800 Cyclo,
Triumph-Adler,SE,SE 800,
Triumph-Adler,SE,SE 700 DS,
Triumph-Adler,SE,SE 700,
Triumph-Adler,SE,SE 610 DS,
Triumph-Adler,SE,SE 610,
Triumph-Adler,SE,SE 600 DS,
Triumph-Adler,SE,SE 503,
Triumph-Adler,SE,SE 501,
Triumph-Adler,SE,SE 500 DS,
Triumph-Adler,SE,SE 500,
Triumph-Adler,SE,SE 425,
Triumph-Adler,SE,SE 420,
Triumph-Adler,SE,SE 410,
Triumph-Adler,SE,SE 400 M,
Triumph-Adler,SE,SE 400 DS,
Triumph-Adler,SE,SE 400,
Triumph-Adler,SE,SE 325,
Triumph-Adler,SE,SE 320,
Triumph-Adler,SE,SE 315,
Triumph-Adler,SE,SE 310,
Triumph-Adler,SE,SE 305,
Triumph-Adler,SE,SE 300,
Triumph-Adler,Satellite,Satellite Viii,
Triumph-Adler,Satellite,Satellite VI,
Triumph-Adler,Satellite,Satellite V,
Triumph-Adler,Satellite,Satellite IV,
Triumph-Adler,Satellite,Satellite III,
Triumph-Adler,Royal,Royal Beta 8100,
Xerox,Other,6002,
Xerox,Other,575,
Triumph-Adler,Other,Office Master 2000,
Triumph-Adler,Other,Meteor II,
Xerox,Other,515,
Triumph-Adler,Mercedes Edition,Mercedes Edition WP,
Triumph-Adler,Mercedes Edition,Mercedes Edition P,
Triumph-Adler,Mercedes Edition,Mercedes Edition M,
Triumph-Adler,Mercedes Edition,Mercedes Edition,
Triumph-Adler,Gabriele,Gabriele PFS 2,
Triumph-Adler,Gabriele,Gabriele PFS,
Triumph-Adler,Gabriele,Gabriele Cyclo,
Triumph-Adler,Gabriele,Gabriele Color,
Triumph-Adler,Gabriele,Gabriele 9009,
Triumph-Adler,Gabriele,Gabriele 7077,
Triumph-Adler,Gabriele,Gabriele 7007 L,
Triumph-Adler,Gabriele,Gabriele 7007 DS,
Triumph-Adler,Gabriele,Gabriele 7007,
Triumph-Adler,Gabriele,Gabriele 7000 L,
Triumph-Adler,Gabriele,Gabriele 500,
Triumph-Adler,Gabriele,Gabriele 400,
Triumph-Adler,Gabriele,Gabriele 110 DS,
Triumph-Adler,Gabriele,Gabriele 110,
Triumph-Adler,Gabriele,Gabriele 100 SC,
Triumph-Adler,Gabriele,Gabriele 100 DS,
Triumph-Adler,Gabriele,Gabriele 100 Cyclo,
Triumph-Adler,Gabriele,Gabriele 100,
Triumph-Adler,Electric,Electric 500,
Taylorix,Other,TRD 20,
Taylorix,Other,GJD,
Taylorix,Other,GDJ,
Wincor-Nixdorf,Other,XY,
Wincor-Nixdorf,Highprint PT,Highprint PT 20,
Privileg,Electronic,Electronic 5000,
Olivetti,S,Spellcart,
Privileg,Other,500,
OCI,Other,Master 2000,
Imperial,Other,SE 7007,
Imperial,Other,SE 305 Compact,
Kienzle,Other,Korrekturdrucker,
Tally Genicom,MT,MT 20,
Logical,Other,3004,
IBM,Other,194,
IBM,Other,190,
IBM,Other,Miniselectric,
IBM,Actionwriter,Actionwriter 1,
IBM,Actionwriter,Actionwriter,
IBM,Other,6717,
IBM,Other,6715 Actionwriter,
IBM,Other,6715,
Hermes,Other,H 32 D,
Hermes,Other,H 32,
Hermes,Other,H 20 D,
Hermes,Other,H 20,
Data General,Other,4467,
Arba,Other,PT 1510,
Binder,Other,BT 20,
Adler-Royal,Other,T 180,
Adler-Royal,Other,Standard Electric 500,
Adler-Royal,Other,Satellite VII,
Alphatext,Other,1620,
Adler-Royal,Beta,Beta 800,
Adler-Royal,Beta,Beta 225,
Adler-Royal,Beta,Beta 220,
Adler-Royal,Alpha,Alpha 605,
Adler-Royal,Alpha,Alpha 115,
Adler-Royal,Alpha,Alpha 110,
Adler-Royal,Other,Imperial Alpha 110,
Adler-Royal,Beta,Beta 900 D,
Adler-Royal,Beta,Beta 8200 C,
Teal,Other,250 Series,
Towa,Other,Sankiden ME 129,
Towa,Other,Sankiden ME 109,
Towa,Other,ME 129,
Towa,Other,ME 109,
Towa,Other,Junior Office,
Towa,Other,Excellence 72,
Towa,Other,Excellence 70,
Towa,Other,Excellence 66 IF,
Towa,Other,Excellence 66,
Towa,Other,Excellence 55,
Towa,Other,Data Office 11,
Teal,Other,260,
Teal,Other,255,
Teal,Other,250,
Sanyo,Serd,Serd 1000,
Quen Data,Other,Excellence 97,
Quen Data,Other,Excellence 90,
Quen Data,Other,Excellence 77 VC,
Quen Data,Other,Excellence 77,
Quen Data,Other,Excellence 70 VC,
Quen Data,Other,Excellence 70 C,
Quen Data,Other,77,
Quen Data,Other,72,
Quen Data,Other,70,
Hermes,Other,35842,
Hermes,Other,Toptronic 18,
Hermes,Other,Toptronic 16,
Hermes,Other,H 16-2,
Hermes,Other,H 16,
Decimo,Other,Daisy 2 MFD,
BMC,Other,NX 80,
Facit,Other,9405,
Facit,Other,9400 Series,
Facit,D,D 2000,
Facit,Other,9620,
Facit,Other,9430,
Facit,Other,9420,
Facit,Other,9411,
Facit,Other,9410,
Facit,Other,9403,
Facit,Other,9402,
Facit,Other,9401,
Facit,Other,9400,
Facit,Other,94 XX,
Facit,Other,7850,
Facit,Other,7140,
Ericsson,Other,Schreibstation,
Ericsson,Other,C 2200,
Ericsson,Other,7401,
Ericsson,Other,7240,
Canon,AP,AP 850 Series,
Utax,Other,5800 Series,
Canon,AP,AP 800 Series,
Utax,T,T 5800 Series,
Utax,T,T 6800 Series,
Canon,AP,AP 810 Series,
Canon,AP,AP 830 Series,
Utax,T,T 6850,
Utax,T,T 6830,
Utax,T,T 6810,
Utax,T,T 6800,
Utax,T,T 6580,
Utax,T,T 5850,
Utax,T,T 5800,
Utax,Other,5850,
Utax,Other,5830,
Utax,Other,5810,
Canon,VP,VP 6000,
Canon,AP,AP RB 28,
Canon,AP,AP RB 27,
Canon,AP,AP RB 26,
Canon,AP,AP RB 23,
Canon,AP,AP RB 22,
Canon,AP,AP RB 21,
Canon,AP,AP 8500,
Canon,AP,AP 850 III,
Canon,AP,AP 850,
Canon,AP,AP 8300,
Canon,AP,AP 830 III,
Canon,AP,AP 830,
Canon,AP,AP 8100,
Canon,AP,AP 810 III,
Canon,AP,AP 810,
Canon,AP,AP 8000,
Canon,AP,AP 800 III,
Canon,AP,AP 800,
Canon,AP,AP 21,
Olympia,Comfort,Comfort MD ML,19678
Olympia,Mini Office,Mini Office 62 I,
Olympia,Mini Office,Mini Office 62,
Olympia,Mini Office,Mini Office 61 I,
Olympia,Mini Office,Mini Office 61,
Olympia,Mini Office,Mini Office 60 I,
Olympia,Mini Office,Mini Office 60,
Olympia,ES,ES 80 I,
Olympia,ES,ES 80,
Olympia,ES,ES 75 I,
Olympia,ES,ES 72 I,
Olympia,ES,ES 72,
Olympia,ES,ES 71 I,
Olympia,ES,ES 71,
Olympia,ES,ES 70 I,
Olympia,ES,ES 70,
Olympia,Competence,Competence ES 70,
Olympia,Comfort,Comfort WP/D,
Olympia,Comfort,Comfort WP,1199
Olympia,Comfort,Comfort MT,
Olympia,Comfort,Comfort MD,19675
Olympia,Comfort,Comfort Junior,22985
Olympia,Comfort,Comfort,22984
Olympia,Other,Astrotype,
Olympia,Other,70 I,
Olympia,Other,Sprintertype,
Swintec,Other,7000 Series,
Kofa,Other,S 740,
Canon,AP,AP 9417,
Canon,AP,AP 9017,
Olympia,Standard,Standard 300,
Olympia,Supertype,Supertype 330,
Walther,Other,TW 830,
Walther,Other,TW 800,
Swintec,Other,7040,
Swintec,Other,7003,
Swintec,Other,7001,
Remstar,Other,602,
Remstar,Other,601,
Sense,Other,830,
International,Other,830 E,
International,Other,800 E,
Facit,T,T 560,
Facit,T,T 520,
Butec,Other,230,
Nakajima,Other,EW 1000,
Nakajima,AE,AE 830,
Nakajima,AE,AE 800,
Samsung,SQ,SQ-3200 Series,
Hanseatic,Other,SQ 1200 Series,
Sigma,Other,SM 8000 Series,
Samsung,SQ,SQ-1200 Series,
Kofa,Other,Compact 12 MD,
Kofa,Other,Compact 12,
Welco,Other,EX 250 DS,
Walther,Other,TW 100,
Sigma,Other,SM 8000 MP,
Sigma,Other,SM 8000,
Samsung,TW,TW 3250,
Samsung,TW,TW 2250,
Samsung,TW,TW 1250,
Samsung,SQ,SQ-3550,
Samsung,SQ,SQ-3200 L,
Samsung,SQ,SQ-3200,
Samsung,SQ,SQ-2200,
Samsung,SQ,SQ-1250,
Samsung,SQ,SQ-1200,
Olympia,Other,Brunsviga M 1,
Hanseatic,Other,SQ 1250,
Hanseatic,Other,SQ 1200,
Hanseatic,Other,Elektronic,
Elite,Other,S 7500,
Elite,Other,S 7000,
Brunsviga,Other,MD,
Brunsviga,Other,M 5,
Brunsviga,Other,M 2,
Brunsviga,Other,M 1 MD,
Brunsviga,Other,M 1,
Brother,MFC,MFC-1950 Series,
Brother,Intellifax,Intellifax 1950 Series,
Brother,Intellifax,Intellifax 1450 Series,18193
Brother,Intellifax,Intellifax 1400 Series,18193
Brother,PPF,PPF-1500 Series,
Brother,MFC,MFC-1700 P,225
Brother,MFC,MFC-1450 MC,225
Brother,MFC,MFC-1350,225
Brother,MFC,MFC-1250,225
Brother,MFC,MFC-1150,225
Brother,Intellifax,Intellifax 1250 M,215
Brother,MFC,MFC-1950 MC,
Brother,Intellifax,Intellifax 1950 Plus,
Brother,MFC,MFC-1850 MC,225
Brother,MFC,MFC-1650,
Brother,Intellifax,Intellifax 1550 MC,18191
Brother,Intellifax,Intellifax 1450 MC,18193
Omnifax,Other,MFP 6000,
Brother,PPF,PPF-1550 MC,
